submission_id,brew_other
24x6qp,Steep . Clever brewer
AlbgPB,Aeropress
VZ1eGE,My boyfriend always makes it =')
J2kPqY,Aeropress
eBxJ5E,AeroPress
QABZ2g,AeroPress
vNxZGA,Immersion brew
VZ16WM,Moka pot
VZ16WM,soon to add espresso
ZdRB40,Aeropress and pourover
24x6Wj,Aeropress
vNxZMd,Clever Dripper
GrBGXp,AeroPress
rlr4PX,Aeropress
LdMrWJ,Moka pot
6dQl1k,Aeropress
jB9R0a,Aeropress
5dq786,AeroPress
1r2erg,Aeropress
1r2erg,Moka pot
PABxYe,AeroPress
ZdR7ga,Iced coffe
5dq7GE,Aeropress
5dq7GE,Moka pot
xdNqlo,Moka Pot
WApWgP,Aeropress
VZ1eAl,Immersion
rlr4e2,aeropress
jB9RLJ,Aeropress
rlrZXl,Aeropress
LdMrQp,Moka pot
KMB9Q8,Aeropress
KMB9Q8,Moka Pot
5dq7WE,Aeropress
9dJ8D1,Clever dripper
WApLzP,aeropress
9dJ8Np,Aeropress
AlbEzk,Aeropress
MAdWKM,Aeropress
dY2Oqo,Aeropress
J2kQlJ,Aeropress
ylqB9p,aeropress
XeBplg,AeroPress
lNlxDk,Aeropress
lNlxDk,moka pot
pLPQ48,Moka pot
8dpXyx,moka pot
oAVq6P,Aeropress
oAVq6P,how can you omit this option
8dpX8r,Aeropress
8dpXYA,AeroPress
KMB9AM,Aeropress
AlbEVy,Aeropress
jB9j11,Aeropress
jB9j11,Mokapot
5dqJYM,Siphon
9dJe7p,Drip Cold Brew Tower
VZ1Kkj,Chemex
xdNGXv,Aeropress
kYR2Ld,Aeropress
0Ej4MZ,Aeropress
AlbkDW,drip cold brew tower
DVvLV5,Aeropress
24x2LA,Aeropress
QABGxl,Aeropress
g5NB6d,Aeropress
VZ1rGy,Put grounds in tea bag
VZ1rGy,pour water through opening in top of bag
VZ1rGy,let steep.  Not sure how to categorize.
bl4P96,Aeropress
MAd0WY,Aeropress
pLParP,Clever dripper
jB9Ne1,Aeropress
XeBX9e,Moka pot
NABzGb,AeroPress
DVvQbX,aero press
bl4P1Z,Clever Dripper
42NeXb,Aeropress
OABvZY,Moka pot
ylqV46,Aeropress
kYRMEZ,AeroPress
WApxEL,Aeropress
GrB8Qo,Italian
xdNOZv,Moka
xdNOZv,Aeropress
24x02L,AP
vNxoVX,Clever dripper
qbE09g,Aeropress
QABP67,Aero press
RzB7Pp,Moka Pot
QAB6Mg,Protein powder with coffee
ylqWYp,Aeropress
ylqWYp,Hario Switch
VZ1kGv,Aeropress
OABW5A,aeropress
xdNOlo,aeropress
5dqyVo,Aeropress
XeBKAd,Aeropress
oAV4YX,AeroPress
oAV4YX,Moka pot
42Ne8r,Aeropress
24xM5V,Hario Switch
24xM5V,Aeropress
OABWqp,Aero press
xdNkX5,My husband does the brewing
LdMA7v,Aeropress
jB9dPx,Siphon
oAVry1,Black Blood of the Earth
oAVry1,served on the rocks
ylqKZX,Aeropress
WApGZk,Ibrik
WApGZk,Bripe
g5NyOD,Aeropress
ylqKLW,Aeropress
BGL4dR,Aeropress
eBNZDx,Aeropress
0Ebr79,Aeropress
VZ9EVv,mukka express (moka)
ZdG5yV,Aeropress
RzZG44,Aero Press
RzZG44,Moka Pot
OAjDGM,Aeropress
jB0ap9,Clever dripper
7dJRez,Aeropress
7dJRez,MokaPot
rl0DJN,Aeropress; Moka Pot
MArXNp,Aeropress
MArXNp,MokaPot
jB0ZZa,Aeropress
aBj94v,Aeropress
XeRLLg,Aeropress and Moka pot
YZoPDW,Aeropress
yl0Mgx,Moccamaster
RzZxOP,Aeropress
0Eb7MN,Aeropress
VZ9j8J,Instant with other flavors. I know
VZ9j8J,I know...
zK0NRM,Clever and Aeropress
24bXyj,Clever Dripper
kY09M6,Aeropress
EPBddA,Aeropress
EPBdQl,Aeropress / Clever Dripper
1rbd4b,Turkish
8dJapO,Turkish
EPBde2,Siphon
jB06VJ,Aeropress
OAj46g,Aeropress
KMPxY7,Aeropress
xd0Dlr,Aeropress
aBj40Z,Aeropress
7dJKYz,Aeropress
WAeRxk,Stovetop mocha pot
EPBxxN,Aeropress
WAezOe,Aeropress
YZoajN,Moka pot
EPBWPX,Aeropress
LdEPgv,Moka pot
QAxRll,usually Aeropress and sometimes moka pot - I use a Nanopresso for espresso
LdEpLj,Turkish
pL0OXB,Aeropress
oA0MD5,Aeropress
421x2Y,Aeropress
bl2xOZ,Aeropress
7dJ26P,Aeropress
7dJ26P,moka
PA26z0,aeropress
PA2690,Moka
jB0yy1,Aeropress
LdEbJl,Aeropress
GrozzO,Aeropress
KMPl5D,Moka Pot
xd0Z4G,Turkish
xd0Z4G,Moka Pot
xd0Z4G,Chemex
xd0Z4G,Sowden SoftBrew
xd0Z4G,Hario Switch
xd0Z4G,Aeropress
zK0rDa,Moka
rl0dJp,Aeropress
7dJ9VA,Aeropress and Hario Switch
RzZv5d,I buy premade canned coffee
rl0J0M,moka
OAj9JK,Aeropress
zK02pE,AeroPress
aBjPVB,Aeropress
PA2LNd,aeropress
YZoXgd,Aeropress
XeRdOY,Aeropress
WAe6Bj,My wife is the coffee drinker. Sometimes she shares with me
RzZQyl,Turkish
MArZAp,Moka Pot
zK0B5a,Clever
LdExxv,Moka Pot
LdExxv,Aeropress
NA42jj,aeropress
MArpbE,Mocha Pot
ZdGrXv,Aeropress
EPBVEB,Aeropress
zK06rZ,Aeropress
WAe71v,Aeropress
6d1Bx5,Aeropress
6d1Bx5,Moka Pot
yl0aKd,Moka Pot
LdE2AJ,Aeropress
LdErgl,Espresso machine
PA2xLe,Moka pot
ZdGM2V,aeropress
ZdGM2V,moka pot
EPB28o,Aeropress
24bpOV,Aeropress
pL0EGV,Steep and release
KMP9bA,Moka
5dlJ7E,Aeropress
qbYyb5,aeropress
YZo2x5,Aeropress
24b2lj,moka
jB0KJx,aeropress
6d1q4e,Clever
dYZ7yV,Aeropress
QAxGkp,Aeropress
J2Vy5K,Aeropress
7dJQ9R,Aeropress
0EbXQy,aeropress
RzZO7j,Moka pot
421Z6r,AeroPress
PA2oG5,Clever Dripper
OAjv1R,Cometteer
DVXLgN,AeroPress
aBjWWX,Aeropress
aBjWWX,Phin
RzZp4P,Aeropress
5dlReZ,Aeropress
xd0G4r,Aeropress
eBN46E,Aeropress
eBN46E,Clever
LdElkp,Aeropress
LdEljG,Aeropresse
xd0KbG,Aeropress
9d6Vk4,Aeropress
421e7X,aeropress
421e7X,moka pot
421e7X,clever dripper
1rbq9p,Aeropress
eBNkMk,moka pot
24bQeL,AeroPress
8dJ7Bx,Mokka
zK0PpE,Aeropress
XeRKeY,AeroPress
6d1XeN,Aeropress
421ga5,Moka pot
421ga5,Aeropress
421ga5,Turkish
ZdGpqy,Moka Pot
24bM69,Wacaco Nanopresso
Al6V2y,Moka pot
RzZXGp,Moka pot
kY0DK1,Aeropress
LdEAEv,moka pot
421WvY,Aeropress
aBjb9E,siphon
aBjb9E,moka
aBjb9E,aeropress
RzZXbd,Aeropress
dYZLJV,Aeropress
AlWPBB,Aeropress
24O8PA,Aeropress
zKWXbR,Mokapot
zKWXbR,Aeropress
blNVJE,aeropress
1rGP7O,Aeropress
PA8jVx,Aeropress
42PXVo,Aeropress
Ld51Zj,Aeropress
42P41o,Aeropress
9d2qaV,Moka pot
24OEMb,Aeropress
XeO52V,Aeropress
AlWPgo,Aeropress
AlWrjN,Aeropress
Rz8Wyj,aeropress
0EoV9y,AeroPress
6drDoB,Aeropress
GrY6JZ,Aeropress
MA81dX,Aeropress
J28qao,Aeropress
lNVBok,Aeropress
qbjab8,aeropress
Ld5zz1,aeropress
5dE4eE,Aeropress
jBGaVR,Aeropress
jBGaVR,clever
NA8Ddl,Aeropress
VZojqJ,Aeropress
5dE4Ab,Aeropress and moka pot
WAlrbP,Aeropress
AlW2vk,Moka pot
6drjXo,Vacuum pot
ZdPO2B,Moka pot
zKWy91,Hario switch
pL4or1,Aeropress Only
1rG4xb,Aeropress
5dE9EP,Orb 1
8djL45,AeroPress
MA8Ezl,aeropress
OA8787,aeropress
vNqPqv,aeropress
24OK29,AeroPress
ZdPaNA,Aeropress
ZdPaGe,Aeropress
1rGV6p,Aeropress
aBZY5v,Immersion (Hario Switch)
PA8595,Chemex
PA8595,AeroPress
zKWDg0,AeroPress
8djKEr,Aeropress
5dEzOQ,Aeropress
5dEzOQ,Turkish
qbjbj7,V60 Switch. Immersion with paper filter
DV010Z,Aeropress
PA8Exx,Aeropress
7d4ZRR,AeroPress
GrY1GO,Aeropress
PA80Pe,Aeropress
yleDb4,AeroPress
KM80XK,AeroPress
OA80vA,Aeropress
GrYLqQ,Aeropress
42PveX,Aeropress
NA8Yvp,Aeropress
NA8Yvp,MokaPot
kYOWV1,Aeropress
42PoWY,Aeropress
VZo1bM,Percolator
kYORko,Moka pot
VZo1BJ,Percolator
vNqxbv,Bripe
Ld5MLO,Moka pot
XeOBKz,aeropress
vNq0Xl,Aeropress
AlW6Nz,Aeropress
PA82QV,Aeropress
24OOAe,Aeropress
DV00VZ,Aeropress
vNqq14,Steep coffee bags
xd99Gr,Aeropress
xd99Gr,clever dripper
xd99Gr,Vietnamese phin
VZovVj,Aeropress
YZVpBz,Moka pot
xd9R4v,Aeropress
xd9R4v,Switch
NA8Mj0,AeroPress
GrYq4p,Moka pot
PA8GWe,Aeropress
zKWLyk,Aeropress
eB9v7O,Turkish Coffee
lNVvz6,Turkish coffee
QA8kPp,Aeropress
0EoaXN,aeropress
ylegqW,Moka Pot
0EolEy,Aeropress
rl2pWX,Aeropress
24OZrj,cupping
7d1qYZ,steep and release with a hario switch
7d1xrR,Hario switch/immersion
oAKBJe,aeropress
vNE2Zl,aeropress
vNE2Zl,immersion dripper (hario switch)
lNKWjB,Aeropress
pLRWYb,Aeropress
OAdBMa,AeroPress
dYK2oV,Aeropress
vNE0Dd,AeroPress
EPv8WN,Aeropress
EPv8WN,Moca Pot
jB5MEY,Aeropress
DVAAYl,Moka Pot
g5YW51,AeroPress
WADM8v,Aeropress
QAvzjk,Aeropress
xd4RKr,Aeropress
42Ap4O,Aeropress
rlGJKR,Clever Dripper
lNK9jV,Moka pot
LdvjJ2,Aeropress
