submission_id,sweetener
J2V52d,Raw Sugar (Turbinado)
XeRXyj,Granulated Sugar
7dJ6OZ,Brown Sugar
dYZ5bD,Granulated Sugar
g5QRJ1,Honey
g5QRJ1,Maple Syrup
g5QRJ1,Brown Sugar
VZ9ky6,Raw Sugar (Turbinado)
5dly0Z,Granulated Sugar
VZ9kRv,Granulated Sugar
rl0zKv,Honey
ZdGpAe,"Artificial Sweeteners (e.g., Splenda)"
rl0XqM,Stevia
rl0XqM,Granulated Sugar
ZdG06a,Granulated Sugar
24bqre,Granulated Sugar
EPBjLB,Granulated Sugar
EPBjLB,Raw Sugar (Turbinado)
xd0kZv,"Artificial Sweeteners (e.g., Splenda)"
XeRVRg,Granulated Sugar
vNqj6d,"Artificial Sweeteners (e.g., Splenda)"
zKWXB8,Honey
zKWXB8,Maple Syrup
zKWXB8,Granulated Sugar
zKWXB8,Brown Sugar
OA8Dag,Granulated Sugar
OA8Dag,Honey
OA8Dag,Maple Syrup
OA8Dag,Raw Sugar (Turbinado)
eB9qxo,Granulated Sugar
dYQWYA,Brown Sugar
dYQWYA,Raw Sugar (Turbinado)
dYQWYA,Granulated Sugar
PA8dEQ,Raw Sugar (Turbinado)
PA8dEQ,Maple Syrup
PA8dEQ,Granulated Sugar
9d2qaV,Granulated Sugar
9d2qaV,Brown Sugar
rl2y5l,Maple Syrup
rl2y5l,Stevia
rl2DLl,Granulated Sugar
9d2N4K,Granulated Sugar
eB9ZWo,Granulated Sugar
eB9ZWo,Honey
eB9ZWo,Brown Sugar
eB9ZWo,Raw Sugar (Turbinado)
8djNDz,Granulated Sugar
J281Po,Brown Sugar
J281Po,Raw Sugar (Turbinado)
xd9x8J,Granulated Sugar
xd9x8J,Brown Sugar
xd9x8J,Raw Sugar (Turbinado)
xd9x8J,Honey
DV0q8R,Raw Sugar (Turbinado)
DV0q8R,Honey
jBGZBQ,Granulated Sugar
jBGZBQ,Brown Sugar
jBGZBQ,Raw Sugar (Turbinado)
1rGXe1,Granulated Sugar
PA8pVe,Raw Sugar (Turbinado)
9d2XD4,Raw Sugar (Turbinado)
5dE4eE,Raw Sugar (Turbinado)
Rz8dZK,Granulated Sugar
qbja4Y,Honey
NA8lDl,Raw Sugar (Turbinado)
oAle1P,Granulated Sugar
oAleL1,Stevia
rl2Bzo,Maple Syrup
rl2Bzo,Granulated Sugar
oAlRqe,Brown Sugar
oAlRqe,Honey
AlWp9o,Raw Sugar (Turbinado)
VZozlM,Raw Sugar (Turbinado)
VZozlM,Honey
vNqPqv,Maple Syrup
Rz8D9K,Granulated Sugar
Rz8D9K,Raw Sugar (Turbinado)
7d4Ng6,Raw Sugar (Turbinado)
Rz80VP,Granulated Sugar
24OeoM,Granulated Sugar
24OeoM,Stevia
7d4WYR,"Artificial Sweeteners (e.g., Splenda)"
oAlyxN,"Artificial Sweeteners (e.g., Splenda)"
OA8zZg,Granulated Sugar
OA8zZg,Honey
OA8zZg,Maple Syrup
1rGlOb,Granulated Sugar
qbjbj7,Raw Sugar (Turbinado)
ylelbd,Granulated Sugar
ZdPV6A,Raw Sugar (Turbinado)
KM8oBX,Granulated Sugar
24OrLb,Granulated Sugar
oAloDO,Granulated Sugar
WAlYYN,Granulated Sugar
WAlYYN,Honey
NA8Y1O,Raw Sugar (Turbinado)
42PveX,"Artificial Sweeteners (e.g., Splenda)"
qbjKvY,Granulated Sugar
42PoWY,Granulated Sugar
VZo1bM,Granulated Sugar
kYORko,Granulated Sugar
VZo1BJ,Granulated Sugar
Ld5MLO,Granulated Sugar
Rz88xv,Granulated Sugar
Rz88xv,Brown Sugar
Rz88xv,Maple Syrup
Rz88xv,Honey
Rz88xv,Raw Sugar (Turbinado)
xd99Gr,Granulated Sugar
VZovVj,Granulated Sugar
xd9R4v,Honey
xd9R4v,Granulated Sugar
xd9R4v,Raw Sugar (Turbinado)
6drWyB,Granulated Sugar
6drWyB,Raw Sugar (Turbinado)
jBGkaJ,"Artificial Sweeteners (e.g., Splenda)"
jBGkaJ,Stevia
vNqdzg,Stevia
vNqdzg,Granulated Sugar
0EoaXN,Granulated Sugar
ylegqW,Granulated Sugar
ylegqW,Honey
jBGgEQ,Raw Sugar (Turbinado)
24OZrj,"Artificial Sweeteners (e.g., Splenda)"
blNyVg,Raw Sugar (Turbinado)
KM8Nkg,Granulated Sugar
DVABNq,"Artificial Sweeteners (e.g., Splenda)"
DVABNq,Stevia
0E1vgN,"Artificial Sweeteners (e.g., Splenda)"
OAdJzR,Granulated Sugar
DVAAYl,Honey
DVAAYl,Granulated Sugar
WADM8v,Stevia
WADM8v,Granulated Sugar
WADM8v,"Artificial Sweeteners (e.g., Splenda)"
0E11K6,Raw Sugar (Turbinado)
aBKzLq,Raw Sugar (Turbinado)
pLR9Z1,Granulated Sugar
xd48r9,Brown Sugar
xd48r9,Honey
xd48r9,Maple Syrup
GrXOqp,"Artificial Sweeteners (e.g., Splenda)"
GrXOqp,Stevia
GrXOqp,Granulated Sugar
8dA45x,Granulated Sugar
9dp82p,Granulated Sugar
pLRElV,Granulated Sugar
GrYYvz,Granulated Sugar
GrYYvz,Brown Sugar
g5YRyl,"Artificial Sweeteners (e.g., Splenda)"
yljKbW,Agave Nectar
yljKbW,Granulated Sugar
Zd1Eao,Maple Syrup
Zd1Eao,Raw Sugar (Turbinado)
NAb78l,"Artificial Sweeteners (e.g., Splenda)"
eB0aEx,Granulated Sugar
eB0aEx,"Artificial Sweeteners (e.g., Splenda)"
eB0aEx,Stevia
eB0aEx,Raw Sugar (Turbinado)
24lNeL,Maple Syrup
24lNeL,Agave Nectar
BGjXPN,Granulated Sugar
VZbv6N,Brown Sugar
VZbv6N,Raw Sugar (Turbinado)
VZbv6N,"Artificial Sweeteners (e.g., Splenda)"
eB0ezx,Granulated Sugar
eB0ezx,Maple Syrup
eB0ezx,Brown Sugar
J2WRlr,Granulated Sugar
J2WRlr,Brown Sugar
PAG05P,Granulated Sugar
PAG05P,"Artificial Sweeteners (e.g., Splenda)"
