submission_id,additions
lNl8zv,No - just black
lNl8zv,Milk
lNl8zv,dairy alternative
lNl8zv,or coffee creamer
jB98z4,No - just black
RzBqVj,No - just black
BGbJ6Q,No - just black
5dqagd,No - just black
QABN8Y,Milk
QABN8Y,dairy alternative
QABN8Y,or coffee creamer
QABN8Y,Sugar or sweetener
QABN8Y,Flavor syrup
24x9o9,Milk
24x9o9,dairy alternative
24x9o9,or coffee creamer
BGbJ9Q,No - just black
BGbJ9Q,Milk
BGbJ9Q,dairy alternative
BGbJ9Q,or coffee creamer
PABZrV,No - just black
lNl84k,No - just black
lNl84k,Milk
lNl84k,dairy alternative
lNl84k,or coffee creamer
rlr8YR,No - just black
zKQ8L0,No - just black
NAB2El,Milk
NAB2El,dairy alternative
NAB2El,or coffee creamer
9dJAMV,No - just black
9dJAMV,Milk
9dJAMV,dairy alternative
9dJAMV,or coffee creamer
YZz79J,Milk
YZz79J,dairy alternative
YZz79J,or coffee creamer
5dqaod,Milk
5dqaod,dairy alternative
5dqaod,or coffee creamer
5dqaod,Sugar or sweetener
GrBOgp,Milk
GrBOgp,dairy alternative
GrBOgp,or coffee creamer
dY2Jgo,No - just black
AlbMAe,No - just black
XeB6d4,No - just black
QABNX8,Milk
QABNX8,dairy alternative
QABNX8,or coffee creamer
1r2QBp,No - just black
VZ1WY6,No - just black
LdM4Vv,No - just black
6dQ6MJ,No - just black
oAV8vx,No - just black
oAV8gP,Milk
oAV8gP,dairy alternative
oAV8gP,or coffee creamer
EPboJ2,Flavor syrup
EPboJ2,Milk
EPboJ2,dairy alternative
EPboJ2,or coffee creamer
MAdjVA,Other
EPboEX,No - just black
6dQ64k,Milk
6dQ64k,dairy alternative
6dQ64k,or coffee creamer
NAB240,No - just black
pLPYzB,No - just black
OABxEg,Milk
OABxEg,dairy alternative
OABxEg,or coffee creamer
NAB2gB,No - just black
vNx8vQ,Milk
vNx8vQ,dairy alternative
vNx8vQ,or coffee creamer
LdM4yj,No - just black
qbE8k9,No - just black
qbE8v9,No - just black
qbE8v9,Sugar or sweetener
qbE8v9,Milk
qbE8v9,dairy alternative
qbE8v9,or coffee creamer
dY2J8d,Milk
dY2J8d,dairy alternative
dY2J8d,or coffee creamer
jB98Yx,Milk
jB98Yx,dairy alternative
jB98Yx,or coffee creamer
jB98Yx,Sugar or sweetener
jB98Yx,Flavor syrup
rlr8gN,Milk
rlr8gN,dairy alternative
rlr8gN,or coffee creamer
XeB6Ng,No - just black
XeB6Ng,Milk
XeB6Ng,dairy alternative
XeB6Ng,or coffee creamer
OABx97,Milk
OABx97,dairy alternative
OABx97,or coffee creamer
42NlEX,No - just black
42NlEX,Milk
42NlEX,dairy alternative
42NlEX,or coffee creamer
LdM4al,No - just black
ZdRbDB,No - just black
ZdRbDB,Milk
ZdRbDB,dairy alternative
ZdRbDB,or coffee creamer
6dQ6Vk,No - just black
8dpbVx,Milk
8dpbVx,dairy alternative
8dpbVx,or coffee creamer
8dpbVx,Flavor syrup
8dpbVx,No - just black
6dQ65P,Milk
6dQ65P,dairy alternative
6dQ65P,or coffee creamer
1r2Q6l,No - just black
7d97MR,Milk
7d97MR,dairy alternative
7d97MR,or coffee creamer
7d97MR,Sugar or sweetener
ylq8GB,Milk
ylq8GB,dairy alternative
ylq8GB,or coffee creamer
kYR8p1,No - just black
8dpbgx,No - just black
VZ1Wqg,No - just black
WApaBa,No - just black
dY2J1q,No - just black
vNx8W0,No - just black
5dqaOo,Sugar or sweetener
QABNWp,No - just black
QABNWp,Milk
QABNWp,dairy alternative
QABNWp,or coffee creamer
ZdRbQo,No - just black
NAB2yB,No - just black
oAV81e,No - just black
PABZYx,Milk
PABZYx,dairy alternative
PABZYx,or coffee creamer
PABZWb,Milk
PABZWb,dairy alternative
PABZWb,or coffee creamer
PABZWb,Sugar or sweetener
XeB6v4,Milk
XeB6v4,dairy alternative
XeB6v4,or coffee creamer
XeB6v4,Sugar or sweetener
9dJAxQ,No - just black
DVvRE5,Milk
DVvRE5,dairy alternative
DVvRE5,or coffee creamer
DVvRE5,Sugar or sweetener
lNl87X,Milk
lNl87X,dairy alternative
lNl87X,or coffee creamer
eBxgye,Milk
eBxgye,dairy alternative
eBxgye,or coffee creamer
aBrpgq,No - just black
OABxrR,No - just black
1r2QxQ,No - just black
AlbM9z,No - just black
8dpbWO,No - just black
7d97zA,Milk
7d97zA,dairy alternative
7d97zA,or coffee creamer
24x9zV,Sugar or sweetener
VZ1W9j,No - just black
rlr8YN,No - just black
xdN80d,No - just black
1r2QgW,Milk
1r2QgW,dairy alternative
1r2QgW,or coffee creamer
1r2QgW,Flavor syrup
EPbo64,No - just black
qbE877,No - just black
KMBrGV,Milk
KMBrGV,dairy alternative
KMBrGV,or coffee creamer
KMBrGV,Sugar or sweetener
6dQ6WY,Milk
6dQ6WY,dairy alternative
