submission_id,brew,brew_other
QABq7Y,Cold brew,NULL
PABQDd,Pour over,NULL
9dJY7E,Other,Aeropress
24xYgM,Pour over,NULL
KMB25K,Pour over,NULL
RzBqzP,Pour over,NULL
GrBEvo,Pour over,NULL
GrBEvo,Espresso,NULL
rlrQrv,Pour over,NULL
LdMxpz,Other,Clever
ZdRblA,Espresso,NULL
ZdRblA,Cold brew,NULL
bl4My7,Pour over,NULL
XeB72d,Pour over,NULL
XeB72d,Espresso,NULL
zKQBXq,Pour over,NULL
zKQBXq,Espresso,NULL
zKQBXq,Instant coffee,NULL
rlr9Yv,Coffee brewing machine (e.g. Mr. Coffee),NULL
rlr9Yv,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
dY2GNy,Pour over,aeropress
dY2GNy,French press,aeropress
dY2GNy,Instant coffee,aeropress
dY2GNy,Other,aeropress
zKQA18,Other,Aeropress
zKQA18,Bean-to-cup machine,Aeropress
zKQA18,Cold brew,Aeropress
ZdRAAV,Pour over,Clever dripper
ZdRAAV,Espresso,Clever dripper
ZdRAAV,Pod/capsule machine (e.g. Keurig/Nespresso),Clever dripper
ZdRAAV,Instant coffee,Clever dripper
ZdRAAV,Coffee extract (e.g. Cometeer),Clever dripper
ZdRAAV,Other,Clever dripper
VZ17Ev,Pour over,NULL
NAB2Ab,Pour over,NULL
NAB2Ab,Espresso,NULL
NAB2Ab,Instant coffee,NULL
rlr9yM,Pour over,NULL
rlr9yM,Espresso,NULL
rlr9yM,Cold brew,NULL
5dqYbv,Pour over,NULL
5dqYbv,Espresso,NULL
AlbRKW,Pour over,NULL
AlbRKW,Espresso,NULL
ylqb6X,Pour over,NULL
ylqb6X,Espresso,NULL
ylqb6X,Cold brew,NULL
dY2o6d,Coffee brewing machine (e.g. Mr. Coffee),NULL
dY2oKz,Pour over,NULL
dY2oKz,Espresso,NULL
oAVN61,French press,NULL
oAVN61,Espresso,NULL
rlr9yv,Pour over,NULL
rlr9yv,French press,NULL
rlr9yv,Coffee brewing machine (e.g. Mr. Coffee),NULL
kYR4Nr,Pour over,NULL
kYR4Nr,French press,NULL
kYR4Nr,Espresso,NULL
kYR4Nr,Coffee brewing machine (e.g. Mr. Coffee),NULL
kYR4Nr,Cold brew,NULL
zKQ4kq,Pour over,NULL
zKQ4kq,Coffee brewing machine (e.g. Mr. Coffee),NULL
zKQ4kq,Cold brew,NULL
zKQ4kq,French press,NULL
RzBeoP,Pour over,NULL
24xYJL,Other,Aeropress
ZdRAWA,Espresso,NULL
rlr9OL,French press,NULL
rlr9OL,Espresso,NULL
rlr9OL,Cold brew,NULL
PABQdQ,Espresso,Drip
PABQdQ,Coffee brewing machine (e.g. Mr. Coffee),Drip
PABQdQ,Other,Drip
1r20NQ,Pour over,Aeropress
1r20NQ,Espresso,Aeropress
1r20NQ,Other,Aeropress
qbEqj2,French press,Aeropress
qbEqj2,Other,Aeropress
g5NV9P,Espresso,NULL
g5NV9P,Coffee brewing machine (e.g. Mr. Coffee),NULL
g5NV9P,Pour over,NULL
42NY8Y,Pour over,Aeropress
42NY8Y,Other,Aeropress
GrBVJp,French press,NULL
7d90RL,Pour over,Aeropress
7d90RL,Other,Aeropress
lNl8WV,NULL,NULL
vNxaEA,Pour over,NULL
vNxaEA,Coffee brewing machine (e.g. Mr. Coffee),NULL
0EjY5P,Pour over,NULL
eBxO5q,French press,NULL
blx47Z,Pour over,NULL
blx47Z,Coffee extract (e.g. Cometeer),NULL
blx47Z,Cold brew,NULL
lNlXyB,NULL,NULL
1r2Yx4,Pour over,NULL
1r2Yx4,Coffee brewing machine (e.g. Mr. Coffee),NULL
1r20WM,Espresso,Aeropress
1r20WM,Pour over,Aeropress
1r20WM,Other,Aeropress
J2krad,Pour over,NULL
J2krad,Espresso,NULL
J2krad,French press,NULL
J2krad,Cold brew,NULL
DVvo05,Pour over,NULL
VZ1aJj,Espresso,NULL
42N0ab,Pour over,NULL
aBrJxZ,French press,NULL
9dJ0qG,Pour over,NULL
PABN1x,Pour over,NULL
PABN1x,Espresso,NULL
PABN1x,Coffee brewing machine (e.g. Mr. Coffee),NULL
8dpDDk,Pour over,NULL
qA2y0O,Pour over,NULL
qA2y0O,Espresso,NULL
qA2y0O,Instant coffee,NULL
V0ELg6,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
zKQ8Qg,Pour over,NULL
zKQ8Qg,Espresso,NULL
VZ1WYN,Pour over,NULL
jB98W1,Pour over,NULL
jB98W1,Espresso,NULL
24x9Rj,NULL,NULL
rlr82o,Pour over,NULL
rlr82o,Cold brew,NULL
QABNj7,NULL,NULL
vNx8El,Pour over,NULL
vNx8El,Espresso,NULL
jB98WY,Pour over,NULL
jB98WY,Espresso,NULL
LdM4Op,Pour over,NULL
LdM4Op,Espresso,NULL
qbE8gG,NULL,NULL
bl41zZ,Pour over,NULL
xdN8yk,Pour over,NULL
xdN8yk,Espresso,NULL
rlr8LX,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
rlr8LX,Cold brew,NULL
jB98ga,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
pLPY01,Coffee brewing machine (e.g. Mr. Coffee),NULL
GrBODO,Bean-to-cup machine,NULL
7d97a0,Pour over,NULL
WApale,Bean-to-cup machine,NULL
0EjqlN,Coffee brewing machine (e.g. Mr. Coffee),NULL
oAV8dN,Pour over,NULL
0Ejqaj,Pour over,NULL
5dqaeZ,Pour over,NULL
5dqaeZ,Espresso,NULL
g5N8v4,Espresso,NULL
g5N8v4,Coffee brewing machine (e.g. Mr. Coffee),NULL
oAV8lb,Pour over,NULL
oAV8lb,French press,NULL
oAV8lb,Cold brew,NULL
AlbMyz,Coffee brewing machine (e.g. Mr. Coffee),NULL
jB9871,Pour over,NULL
9dJA2E,Coffee brewing machine (e.g. Mr. Coffee),NULL
PABZBx,Pour over,NULL
PABZBx,French press,NULL
DVvRWR,Espresso,NULL
DVvRWR,Pour over,NULL
dY2JDV,Pour over,NULL
dY2JDV,Coffee brewing machine (e.g. Mr. Coffee),NULL
dY2JDV,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
dY2JDV,Instant coffee,NULL
bl41Y1,Pour over,NULL
bl41Y1,Coffee brewing machine (e.g. Mr. Coffee),NULL
bl41Y1,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
rlr8vR,Espresso,NULL
rlr8vR,Pour over,NULL
rlr8vR,Cold brew,NULL
xdN89d,Pour over,NULL
xdN89d,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
xdN89d,French press,NULL
kYR8Jo,Pour over,NULL
kYR8Jo,Espresso,NULL
YZz7xW,Coffee extract (e.g. Cometeer),NULL
YZz7xW,Pour over,NULL
YZz7xW,French press,NULL
RzBq29,Pour over,NULL
24x9DD,Pour over,NULL
24x9DD,French press,NULL
24x9DD,Espresso,NULL
24x9DD,Coffee brewing machine (e.g. Mr. Coffee),NULL
24x9DD,Coffee extract (e.g. Cometeer),NULL
24x9DD,Cold brew,NULL
rlr8k2,Pour over,NULL
rlr8k2,Espresso,NULL
7d97ER,Other,moka pot
GrBOBO,Espresso,NULL
GrBOBO,Coffee brewing machine (e.g. Mr. Coffee),NULL
42NlPr,Pour over,Immersion (aeropress)
42NlPr,French press,Immersion (aeropress)
42NlPr,Cold brew,Immersion (aeropress)
42NlPr,Other,Immersion (aeropress)
XeB6OP,Espresso,NULL
VZ1W4y,Espresso,NULL
