submission_id,purchase,purchase_other
AlbMAe,NULL,NULL
XeB6d4,NULL,NULL
QABNX8,NULL,NULL
1r2QBp,NULL,NULL
VZ1WY6,NULL,NULL
LdM4Vv,NULL,NULL
6dQ6MJ,NULL,NULL
oAV8vx,NULL,NULL
oAV8gP,NULL,NULL
EPboJ2,Local cafe,NULL
MAdjVA,Specialty coffee shop,NULL
EPboEX,NULL,NULL
6dQ64k,NULL,NULL
NAB240,NULL,NULL
pLPYzB,NULL,NULL
OABxEg,NULL,NULL
NAB2gB,NULL,NULL
vNx8vQ,NULL,NULL
LdM4yj,NULL,NULL
qbE8k9,Specialty coffee shop,NULL
qbE8v9,NULL,NULL
dY2J8d,NULL,NULL
jB98Yx,"National chain (e.g. Starbucks, Dunkin)",NULL
rlr8gN,NULL,NULL
XeB6Ng,NULL,NULL
OABx97,NULL,NULL
42NlEX,NULL,NULL
LdM4al,NULL,NULL
ZdRbDB,NULL,NULL
6dQ6Vk,Local cafe,NULL
8dpbVx,NULL,NULL
6dQ65P,NULL,NULL
1r2Q6l,NULL,NULL
7d97MR,"National chain (e.g. Starbucks, Dunkin)",NULL
7d97MR,Drive-thru,NULL
ylq8GB,NULL,NULL
kYR8p1,NULL,NULL
8dpbgx,NULL,NULL
VZ1Wqg,NULL,NULL
WApaBa,NULL,NULL
dY2J1q,NULL,NULL
vNx8W0,NULL,NULL
5dqaOo,NULL,NULL
QABNWp,NULL,NULL
ZdRbQo,NULL,NULL
NAB2yB,NULL,NULL
oAV81e,NULL,NULL
PABZYx,NULL,NULL
PABZWb,NULL,NULL
XeB6v4,NULL,NULL
9dJAxQ,NULL,NULL
DVvRE5,NULL,NULL
lNl87X,Specialty coffee shop,NULL
lNl87X,"National chain (e.g. Starbucks, Dunkin)",NULL
eBxgye,NULL,NULL
aBrpgq,NULL,NULL
OABxrR,NULL,NULL
WApajv,NULL,NULL
1r2QxQ,NULL,NULL
AlbM9z,NULL,NULL
8dpbWO,Specialty coffee shop,NULL
8dpbWO,Local cafe,NULL
7d97zA,NULL,NULL
24x9zV,NULL,NULL
VZ1W9j,NULL,NULL
rlr8YN,NULL,NULL
xdN80d,NULL,NULL
1r2QgW,NULL,NULL
EPbo64,NULL,NULL
qbE877,NULL,NULL
KMBrGV,NULL,NULL
6dQ6WY,Local cafe,NULL
6dQ6WY,Specialty coffee shop,NULL
6dQ6WY,"National chain (e.g. Starbucks, Dunkin)",NULL
EPboA4,NULL,NULL
PABZy5,NULL,NULL
ZdRbgz,NULL,NULL
EPbo6r,NULL,NULL
6dQ6zB,NULL,NULL
LdM4Ey,NULL,NULL
ylq8gg,NULL,NULL
